"","Dim.1","Dim.2"
"ADAP2_HUMAN",0.0069854143445646,0.00316993443276146
"DSRAD_HUMAN",0.00666853338097814,0.00365034476291388
"RED1_HUMAN",0.00807412757175672,0.00151938062543527
"RED2_HUMAN",0.00667257380279643,0.00364421924386184
"ADAT1_HUMAN",0.000886054099036838,0.0124169262245984
"ADAT2_HUMAN",1.35312643769777e-06,0.0137581853571201
"ADAT3_HUMAN",0.00863308277011328,0.000671971401656815
"ADCK1_HUMAN",0.00757897552480205,0.00227006048850083
"ADCK2_HUMAN",0.00276916180905489,0.00956202327794091
"ADCK5_HUMAN",0.00360659037143673,0.00829243192231119
"ADCY1_HUMAN",0.000585202277404563,0.0128730354251055
"ADCYA_HUMAN",0.006268093256345,0.00425743573582695
"ADCY2_HUMAN",0.00395866863919272,0.00775866039202454
"ADCY3_HUMAN",0.00177797383894767,0.0110647230127976
"ADCY4_HUMAN",9.4333931337582e-05,0.0136172209436248
"ADCY5_HUMAN",0.00805434079445975,0.001549378553068
"ADCY6_HUMAN",3.83540351988394e-05,0.0137020897854812
"ADCY7_HUMAN",0.00597727825904244,0.00469832851552014
"ADCY8_HUMAN",0.00230131873481975,0.0102713011190871
"ADCY9_HUMAN",3.88869968970107e-05,0.0137012817839449
"PACA_HUMAN",0.00247166303796842,0.0100130490550026
"PACR_HUMAN",0.00847233179052129,0.000915679418396174
"ADDA_HUMAN",0.00901070498979563,9.94737256294739e-05
"ADDG_HUMAN",0.00494423539099963,0.00626448275741982
"ADGB_HUMAN",0.00451195374596452,0.00691984736329507
"AGRA1_HUMAN",0.0069978797160623,0.0031510361904406
"AGRA2_HUMAN",0.00730810698279488,0.00268071325924749
"AGRA3_HUMAN",0.00542278812220263,0.00553896844128461
"AGRB1_HUMAN",0.00755288684189066,0.00230961247871463
"AGRB2_HUMAN",0.00849906126186377,0.000875155954925511
"AGRB3_HUMAN",0.00178290749808454,0.0110572432930062
"AGRD1_HUMAN",0.00355763188483653,0.00836665589097491
"AGRD2_HUMAN",0.00768110709355038,0.00211522297441977
"AGRE1_HUMAN",0.00592226544787047,0.0047817311992239
"AGRE2_HUMAN",0.00534027466652197,0.00566406373270548
"AGRE5_HUMAN",0.000567229882851033,0.012900282640916
"AGRF1_HUMAN",0.00756713613037167,0.0022880097124704
"AGRF2_HUMAN",0.00861386630064036,0.000701104708812177
"AGRF3_HUMAN",0.00526829962141589,0.00577318216882377
"AGRF4_HUMAN",0.000524703602211589,0.0129647550039476
"AGRF5_HUMAN",0.00878672663968798,0.000439038185117354
"AGRG1_HUMAN",0.00836373916470493,0.00108031227809882
